"S_No","Price","Date of Transfer","Postcode","Town/City","District","County","Short Postcode"
25,365000,2019,"ME12 3US","SHEERNESS","SWALE","KENT","ME12 "
26,1200000,2019,"TN15 0AR","SEVENOAKS","SEVENOAKS","KENT","TN15 "
27,405000,2019,"RH5 4LU","DORKING","MOLE VALLEY","SURREY","RH5 4"
28,197000,2019,"KT14 7HJ","WEST BYFLEET","WOKING","SURREY","KT14 "
29,60000,2019,"CT20 3RS","FOLKESTONE","SHEPWAY","KENT","CT20 "
30,326000,2019,"TN14 6DX","SEVENOAKS","SEVENOAKS","KENT","TN14 "
31,445000,2019,"ME13 9QS","FAVERSHAM","SWALE","KENT","ME13 "
32,250000,2019,"GU23 6EU","WOKING","GUILDFORD","SURREY","GU23 "
33,310000,2019,"GU4 8EJ","GUILDFORD","GUILDFORD","SURREY","GU4 8"
34,3e+05,2019,"GU22 8BW","WOKING","WOKING","SURREY","GU22 "
35,340000,2019,"GU22 8BW","WOKING","WOKING","SURREY","GU22 "
36,370000,2019,"CT14 7HJ","DEAL","DOVER","KENT","CT14 "
37,285000,2019,"CT3 2HT","CANTERBURY","DOVER","KENT","CT3 2"
38,125500,2019,"ME10 2AE","SITTINGBOURNE","SWALE","KENT","ME10 "
39,1040000,2019,"KT10 0PF","ESHER","ELMBRIDGE","SURREY","KT10 "
40,100500,2019,"KT22 7FL","LEATHERHEAD","MOLE VALLEY","SURREY","KT22 "
41,310000,2019,"GU4 8EJ","GUILDFORD","GUILDFORD","SURREY","GU4 8"
42,415000,2019,"RH1 4PN","REDHILL","TANDRIDGE","SURREY","RH1 4"
43,715000,2019,"KT20 7QN","TADWORTH","REIGATE AND BANSTEAD","SURREY","KT20 "
44,250000,2019,"ME12 3US","SHEERNESS","SWALE","KENT","ME12 "
45,685000,2019,"GU8 5LA","GODALMING","WAVERLEY","SURREY","GU8 5"
46,365000,2019,"GU10 3PZ","FARNHAM","WAVERLEY","SURREY","GU10 "
47,296000,2019,"CR5 3NA","COULSDON","REIGATE AND BANSTEAD","SURREY","CR5 3"
48,243000,2019,"GU3 3NS","GUILDFORD","GUILDFORD","SURREY","GU3 3"
49,195000,2019,"RH1 4JU","REDHILL","TANDRIDGE","SURREY","RH1 4"
50,865000,2019,"GU8 5PR","GODALMING","WAVERLEY","SURREY","GU8 5"
51,9500,2019,"GU21 2DB","WOKING","WOKING","SURREY","GU21 "
52,2190000,2019,"CT4 5HL","CANTERBURY","CANTERBURY","KENT","CT4 5"
53,470000,2019,"GU8 5LT","GODALMING","WAVERLEY","SURREY","GU8 5"
54,590000,2019,"GU24 8DY","WOKING","SURREY HEATH","SURREY","GU24 "
55,125000,2019,"RH10 3HZ","CRAWLEY","TANDRIDGE","SURREY","RH10 "
56,6e+05,2019,"GU5 9RG","GUILDFORD","GUILDFORD","SURREY","GU5 9"
57,245000,2019,"RH1 3BN","REDHILL","REIGATE AND BANSTEAD","SURREY","RH1 3"
58,396000,2019,"KT16 0BG","CHERTSEY","RUNNYMEDE","SURREY","KT16 "
59,230000,2019,"GU22 9LL","WOKING","WOKING","SURREY","GU22 "
60,168000,2019,"CT16 3NA","DOVER","DOVER","KENT","CT16 "
61,330000,2019,"GU21 4UB","WOKING","WOKING","SURREY","GU21 "
62,273000,2019,"GU8 6DH","GODALMING","WAVERLEY","SURREY","GU8 6"
63,247500,2019,"CT9 2DJ","MARGATE","THANET","KENT","CT9 2"
64,282000,2019,"GU27 2DE","HASLEMERE","WAVERLEY","SURREY","GU27 "
65,240000,2019,"GU22 9LL","WOKING","WOKING","SURREY","GU22 "
66,235000,2019,"RH1 3BN","REDHILL","REIGATE AND BANSTEAD","SURREY","RH1 3"
67,374500,2019,"KT12 5BQ","WALTON-ON-THAMES","ELMBRIDGE","SURREY","KT12 "
68,177500,2019,"CT3 4HD","CANTERBURY","CANTERBURY","KENT","CT3 4"
69,104000,2019,"TN14 5FU","SEVENOAKS","SEVENOAKS","KENT","TN14 "
70,195000,2019,"ME19 5GJ","WEST MALLING","TONBRIDGE AND MALLING","KENT","ME19 "
71,490000,2019,"GU10 3AT","FARNHAM","WAVERLEY","SURREY","GU10 "
72,580000,2019,"KT22 0SD","LEATHERHEAD","ELMBRIDGE","SURREY","KT22 "
73,120000,2019,"CT9 2EP","MARGATE","THANET","KENT","CT9 2"
74,350000,2019,"CT13 0FP","SANDWICH","DOVER","KENT","CT13 "
75,855000,2019,"ME17 2QJ","MAIDSTONE","MAIDSTONE","KENT","ME17 "
76,240000,2019,"ME1 3FY","ROCHESTER","TONBRIDGE AND MALLING","KENT","ME1 3"
77,212500,2019,"GU16 8UH","CAMBERLEY","SURREY HEATH","SURREY","GU16 "
78,245000,2019,"GU10 3PG","FARNHAM","WAVERLEY","SURREY","GU10 "
79,197500,2019,"ME19 5FE","WEST MALLING","TONBRIDGE AND MALLING","KENT","ME19 "
80,260000,2019,"TN14 5FL","SEVENOAKS","SEVENOAKS","KENT","TN14 "
81,180000,2019,"KT14 7HJ","WEST BYFLEET","WOKING","SURREY","KT14 "
82,275000,2019,"KT15 3AE","ADDLESTONE","WOKING","SURREY","KT15 "
83,287500,2019,"TN3 0PQ","TUNBRIDGE WELLS","TUNBRIDGE WELLS","KENT","TN3 0"
84,468000,2019,"ME14 4FB","MAIDSTONE","MAIDSTONE","KENT","ME14 "
85,310000,2019,"CT4 7QZ","CANTERBURY","CANTERBURY","KENT","CT4 7"
86,154995,2019,"TN28 8PT","NEW ROMNEY","SHEPWAY","KENT","TN28 "
87,105000,2019,"CT9 2DJ","MARGATE","THANET","KENT","CT9 2"
88,250000,2019,"KT10 0SP","ESHER","ELMBRIDGE","SURREY","KT10 "
89,153750,2019,"ME10 2FA","SITTINGBOURNE","SWALE","KENT","ME10 "
90,193000,2019,"TN13 2DB","SEVENOAKS","SEVENOAKS","KENT","TN13 "
91,258000,2019,"TN14 5FX","SEVENOAKS","SEVENOAKS","KENT","TN14 "
92,276000,2019,"KT23 3ET","LEATHERHEAD","MOLE VALLEY","SURREY","KT23 "
93,2100000,2019,"KT20 6AD","TADWORTH","REIGATE AND BANSTEAD","SURREY","KT20 "
94,850000,2019,"KT20 7QN","TADWORTH","REIGATE AND BANSTEAD","SURREY","KT20 "
95,118000,2019,"ME12 3FF","SHEERNESS","SWALE","KENT","ME12 "
96,160000,2019,"ME12 3FE","SHEERNESS","SWALE","KENT","ME12 "
97,120000,2019,"CT9 2EB","MARGATE","THANET","KENT","CT9 2"
98,895000,2019,"ME9 8JT","SITTINGBOURNE","SWALE","KENT","ME9 8"
99,52000,2019,"CT15 6AG","DOVER","DOVER","KENT","CT15 "
100,1050000,2019,"TN3 0RP","TUNBRIDGE WELLS","SEVENOAKS","KENT","TN3 0"
101,355000,2019,"KT20 7ST","TADWORTH","REIGATE AND BANSTEAD","SURREY","KT20 "
102,3e+05,2019,"DA2 8AN","DARTFORD","DARTFORD","KENT","DA2 8"
103,590000,2019,"GU10 3EA","FARNHAM","WAVERLEY","SURREY","GU10 "
104,31000,2019,"TN28 8RN","NEW ROMNEY","FOLKESTONE AND HYTHE","KENT","TN28 "
105,165000,2019,"KT23 3PW","LEATHERHEAD","MOLE VALLEY","SURREY","KT23 "
106,15000,2019,"TN28 8RN","NEW ROMNEY","FOLKESTONE AND HYTHE","KENT","TN28 "
107,95000,2019,"CT16 2FG","DOVER","DOVER","KENT","CT16 "
108,630000,2019,"GU8 5PL","GODALMING","WAVERLEY","SURREY","GU8 5"
109,440000,2019,"GU8 5PL","GODALMING","WAVERLEY","SURREY","GU8 5"
110,194000,2019,"KT6 5LB","SURBITON","ELMBRIDGE","SURREY","KT6 5"
111,222000,2019,"GU9 9JP","FARNHAM","WAVERLEY","SURREY","GU9 9"
112,275000,2019,"KT24 5LZ","LEATHERHEAD","GUILDFORD","SURREY","KT24 "
113,520000,2019,"GU24 9EB","WOKING","SURREY HEATH","SURREY","GU24 "
114,365000,2019,"KT12 5BQ","WALTON-ON-THAMES","ELMBRIDGE","SURREY","KT12 "
115,429000,2019,"KT23 3ES","LEATHERHEAD","MOLE VALLEY","SURREY","KT23 "
116,312000,2019,"TN14 5GR","SEVENOAKS","SEVENOAKS","KENT","TN14 "
117,306000,2019,"TN14 5GR","SEVENOAKS","SEVENOAKS","KENT","TN14 "
118,260000,2019,"TN14 5GQ","SEVENOAKS","SEVENOAKS","KENT","TN14 "
119,340000,2019,"TN14 5GR","SEVENOAKS","SEVENOAKS","KENT","TN14 "
120,367000,2019,"TN14 5GR","SEVENOAKS","SEVENOAKS","KENT","TN14 "
121,260000,2019,"RH1 3BN","REDHILL","REIGATE AND BANSTEAD","SURREY","RH1 3"
122,375500,2019,"KT12 5BQ","WALTON-ON-THAMES","ELMBRIDGE","SURREY","KT12 "
123,230000,2019,"RH1 3BN","REDHILL","REIGATE AND BANSTEAD","SURREY","RH1 3"
124,245000,2019,"KT10 0AW","ESHER","ELMBRIDGE","SURREY","KT10 "
125,370000,2019,"GU8 5NG","GODALMING","WAVERLEY","SURREY","GU8 5"
126,610000,2019,"RH1 4JA","REDHILL","TANDRIDGE","SURREY","RH1 4"
127,364750,2019,"TN14 5GR","SEVENOAKS","SEVENOAKS","KENT","TN14 "
128,370000,2019,"TN14 5GR","SEVENOAKS","SEVENOAKS","KENT","TN14 "
129,520000,2019,"CR5 3NF","COULSDON","REIGATE AND BANSTEAD","SURREY","CR5 3"
130,192000,2019,"GU16 7JN","CAMBERLEY","SURREY HEATH","SURREY","GU16 "
131,590000,2019,"KT20 6JR","TADWORTH","REIGATE AND BANSTEAD","SURREY","KT20 "
132,350000,2019,"RH5 5BU","DORKING","MOLE VALLEY","SURREY","RH5 5"
133,1110000,2019,"RH3 7EA","BETCHWORTH","MOLE VALLEY","SURREY","RH3 7"
134,295000,2019,"KT17 1UX","EPSOM","EPSOM AND EWELL","SURREY","KT17 "
135,198000,2019,"GU16 7JN","CAMBERLEY","SURREY HEATH","SURREY","GU16 "
136,635000,2019,"GU5 0ES","GUILDFORD","WAVERLEY","SURREY","GU5 0"
137,285000,2019,"GU21 2UD","WOKING","WOKING","SURREY","GU21 "
138,425000,2019,"RH6 0EH","HORLEY","MOLE VALLEY","SURREY","RH6 0"
139,686000,2019,"GU3 1JA","GUILDFORD","GUILDFORD","SURREY","GU3 1"
140,245000,2019,"GU21 2UE","WOKING","WOKING","SURREY","GU21 "
141,325000,2019,"KT23 4JH","LEATHERHEAD","MOLE VALLEY","SURREY","KT23 "
142,2900000,2019,"GU12 5QE","ALDERSHOT","GUILDFORD","SURREY","GU12 "
143,208000,2019,"CT3 1JA","CANTERBURY","DOVER","KENT","CT3 1"
144,270000,2019,"TN25 6JW","ASHFORD","SHEPWAY","KENT","TN25 "
145,160000,2019,"CT9 2LL","MARGATE","THANET","KENT","CT9 2"
146,345000,2019,"TN3 8EA","TUNBRIDGE WELLS","TUNBRIDGE WELLS","KENT","TN3 8"
147,150000,2019,"TN15 8NY","SEVENOAKS","TONBRIDGE AND MALLING","KENT","TN15 "
148,283000,2019,"TN26 1AL","ASHFORD","ASHFORD","KENT","TN26 "
149,235000,2019,"DA13 0QN","GRAVESEND","GRAVESHAM","KENT","DA13 "
150,158964,2019,"CT14 7DN","DEAL","DOVER","KENT","CT14 "
151,520000,2019,"TN12 7LW","TONBRIDGE","TUNBRIDGE WELLS","KENT","TN12 "
152,380000,2019,"CT7 0PB","BIRCHINGTON","THANET","KENT","CT7 0"
153,355500,2019,"TN3 0XJ","TUNBRIDGE WELLS","TUNBRIDGE WELLS","KENT","TN3 0"
154,190000,2019,"ME14 4AG","MAIDSTONE","MAIDSTONE","KENT","ME14 "
155,136000,2019,"ME12 3JD","SHEERNESS","SWALE","KENT","ME12 "
156,170000,2019,"CT17 0UR","DOVER","DOVER","KENT","CT17 "
157,1200000,2019,"TN14 6QX","SEVENOAKS","SEVENOAKS","KENT","TN14 "
158,3e+05,2019,"TN27 8AJ","ASHFORD","ASHFORD","KENT","TN27 "
159,190000,2019,"CT20 3RP","FOLKESTONE","SHEPWAY","KENT","CT20 "
160,205000,2019,"CT14 7UF","DEAL","DOVER","KENT","CT14 "
161,380000,2019,"TN18 5DB","CRANBROOK","TUNBRIDGE WELLS","KENT","TN18 "
162,164000,2019,"CT9 2JQ","MARGATE","THANET","KENT","CT9 2"
163,277500,2019,"CT20 3AX","FOLKESTONE","SHEPWAY","KENT","CT20 "
164,385000,2019,"TN23 3DB","ASHFORD","ASHFORD","KENT","TN23 "
165,160000,2019,"CT9 2ER","MARGATE","THANET","KENT","CT9 2"
166,330000,2019,"DA13 0AH","GRAVESEND","GRAVESHAM","KENT","DA13 "
167,410000,2019,"CT20 3AG","FOLKESTONE","FOLKESTONE AND HYTHE","KENT","CT20 "
168,249950,2019,"ME16 9FS","MAIDSTONE","TONBRIDGE AND MALLING","KENT","ME16 "
169,190000,2019,"GU12 5SX","ALDERSHOT","GUILDFORD","SURREY","GU12 "
170,660000,2019,"GU8 4UF","GODALMING","WAVERLEY","SURREY","GU8 4"
171,270000,2019,"RH5 5AW","DORKING","MOLE VALLEY","SURREY","RH5 5"
172,255000,2019,"GU12 5LR","ALDERSHOT","GUILDFORD","SURREY","GU12 "
173,8e+05,2019,"TW20 0HJ","EGHAM","RUNNYMEDE","SURREY","TW20 "
174,225995,2019,"ME1 3FJ","ROCHESTER","TONBRIDGE AND MALLING","KENT","ME1 3"
175,550000,2019,"GU24 9NN","WOKING","SURREY HEATH","SURREY","GU24 "
176,246000,2019,"GU21 2UB","WOKING","WOKING","SURREY","GU21 "
177,135000,2019,"TN18 4JH","CRANBROOK","TUNBRIDGE WELLS","KENT","TN18 "
178,175000,2019,"CT18 7SU","FOLKESTONE","FOLKESTONE AND HYTHE","KENT","CT18 "
179,477000,2019,"KT20 6HN","TADWORTH","REIGATE AND BANSTEAD","SURREY","KT20 "
180,465000,2019,"TN24 9EQ","ASHFORD","ASHFORD","KENT","TN24 "
181,150000,2019,"ME3 7HZ","ROCHESTER","GRAVESHAM","KENT","ME3 7"
182,220000,2019,"CT17 0TW","DOVER","DOVER","KENT","CT17 "
183,155000,2019,"ME12 3TX","SHEERNESS","SWALE","KENT","ME12 "
184,352500,2019,"RH5 6EH","DORKING","MOLE VALLEY","SURREY","RH5 6"
185,185000,2019,"KT14 7HJ","WEST BYFLEET","WOKING","SURREY","KT14 "
186,259950,2019,"TN15 8FJ","SEVENOAKS","TONBRIDGE AND MALLING","KENT","TN15 "
187,155000,2019,"CT14 8AZ","DEAL","DOVER","KENT","CT14 "
188,247500,2019,"TN14 5FW","SEVENOAKS","SEVENOAKS","KENT","TN14 "
189,750000,2019,"RH5 6AF","DORKING","MOLE VALLEY","SURREY","RH5 6"
190,168600,2019,"ME18 5NU","MAIDSTONE","TONBRIDGE AND MALLING","KENT","ME18 "
191,895000,2019,"KT16 0QG","CHERTSEY","RUNNYMEDE","SURREY","KT16 "
192,390000,2019,"GU22 9BZ","WOKING","WOKING","SURREY","GU22 "
193,330000,2019,"RH1 3HD","REDHILL","REIGATE AND BANSTEAD","SURREY","RH1 3"
194,190000,2019,"TN15 8NY","SEVENOAKS","TONBRIDGE AND MALLING","KENT","TN15 "
195,427000,2019,"TN29 9PA","ROMNEY MARSH","FOLKESTONE AND HYTHE","KENT","TN29 "
196,150000,2019,"CT15 6HU","DOVER","DOVER","KENT","CT15 "
197,280000,2019,"TW19 7FG","STAINES-UPON-THAMES","SPELTHORNE","SURREY","TW19 "
198,180000,2019,"GU10 1DQ","FARNHAM","GUILDFORD","SURREY","GU10 "
199,105000,2019,"CT11 7QT","RAMSGATE","THANET","KENT","CT11 "
200,580000,2019,"GU4 8QU","GUILDFORD","WAVERLEY","SURREY","GU4 8"
201,545000,2019,"KT22 0RT","LEATHERHEAD","ELMBRIDGE","SURREY","KT22 "
202,1150000,2019,"KT16 0QG","CHERTSEY","RUNNYMEDE","SURREY","KT16 "
203,305000,2019,"GU6 8HP","CRANLEIGH","WAVERLEY","SURREY","GU6 8"
204,325000,2019,"GU8 4LL","GODALMING","WAVERLEY","SURREY","GU8 4"
205,274000,2019,"DA2 8AU","DARTFORD","DARTFORD","KENT","DA2 8"
206,442700,2019,"TN12 9NZ","TONBRIDGE","MAIDSTONE","KENT","TN12 "
207,1850000,2019,"GU6 7SJ","CRANLEIGH","WAVERLEY","SURREY","GU6 7"
208,290000,2019,"TN12 9HX","TONBRIDGE","MAIDSTONE","KENT","TN12 "
209,141000,2019,"CT15 4HH","DOVER","DOVER","KENT","CT15 "
210,335000,2019,"CT3 1DZ","CANTERBURY","DOVER","KENT","CT3 1"
211,260000,2019,"CT12 4HJ","RAMSGATE","THANET","KENT","CT12 "
212,735000,2019,"RH5 5NH","DORKING","MOLE VALLEY","SURREY","RH5 5"
213,97500,2019,"CT9 2GB","MARGATE","THANET","KENT","CT9 2"
214,635000,2019,"ME9 7SP","SITTINGBOURNE","SWALE","KENT","ME9 7"
215,241000,2019,"CT18 8HS","FOLKESTONE","FOLKESTONE AND HYTHE","KENT","CT18 "
216,275000,2019,"CT16 3GT","DOVER","DOVER","KENT","CT16 "
217,230000,2019,"GU22 9JN","WOKING","WOKING","SURREY","GU22 "
218,153600,2019,"TN26 2LA","ASHFORD","ASHFORD","KENT","TN26 "
219,213334,2019,"TN17 2BL","CRANBROOK","TUNBRIDGE WELLS","KENT","TN17 "
220,196000,2019,"CT15 5JF","DOVER","DOVER","KENT","CT15 "
221,535000,2019,"SL5 0LA","ASCOT","RUNNYMEDE","SURREY","SL5 0"
222,528000,2019,"ME18 5HT","MAIDSTONE","MAIDSTONE","KENT","ME18 "
223,180000,2019,"CT17 0UR","DOVER","DOVER","KENT","CT17 "
224,250500,2019,"CT2 0DN","CANTERBURY","CANTERBURY","KENT","CT2 0"
225,399000,2019,"RH1 3BS","REDHILL","REIGATE AND BANSTEAD","SURREY","RH1 3"
226,242500,2019,"RH1 3LL","REDHILL","REIGATE AND BANSTEAD","SURREY","RH1 3"
227,136000,2019,"CT9 2ER","MARGATE","THANET","KENT","CT9 2"
228,5e+05,2019,"GU8 5AR","GODALMING","WAVERLEY","SURREY","GU8 5"
229,635000,2019,"RH3 7HU","BETCHWORTH","MOLE VALLEY","SURREY","RH3 7"
230,3e+05,2019,"ME19 4SG","WEST MALLING","TONBRIDGE AND MALLING","KENT","ME19 "
231,249950,2019,"ME16 9FS","MAIDSTONE","TONBRIDGE AND MALLING","KENT","ME16 "
232,525000,2019,"GU10 3DE","FARNHAM","WAVERLEY","SURREY","GU10 "
233,665000,2019,"GU8 5LB","GODALMING","WAVERLEY","SURREY","GU8 5"
234,259950,2019,"RH1 3LL","REDHILL","REIGATE AND BANSTEAD","SURREY","RH1 3"
235,550000,2019,"KT11 3HX","COBHAM","ELMBRIDGE","SURREY","KT11 "
236,317000,2019,"CT18 8AU","FOLKESTONE","FOLKESTONE AND HYTHE","KENT","CT18 "
237,4e+05,2019,"ME15 0RJ","MAIDSTONE","MAIDSTONE","KENT","ME15 "
238,585000,2019,"ME13 9JF","FAVERSHAM","SWALE","KENT","ME13 "
239,255000,2019,"TN28 8NA","NEW ROMNEY","FOLKESTONE AND HYTHE","KENT","TN28 "
240,840000,2019,"TN12 7AS","TONBRIDGE","TUNBRIDGE WELLS","KENT","TN12 "
241,199950,2019,"GU12 6AG","ALDERSHOT","GUILDFORD","SURREY","GU12 "
242,225000,2019,"ME20 6GB","AYLESFORD","TONBRIDGE AND MALLING","KENT","ME20 "
243,90000,2019,"CT9 2HN","MARGATE","THANET","KENT","CT9 2"
244,130000,2019,"CT9 2HN","MARGATE","THANET","KENT","CT9 2"
245,225000,2019,"TN28 8NA","NEW ROMNEY","FOLKESTONE AND HYTHE","KENT","TN28 "
246,247500,2019,"TN28 8NA","NEW ROMNEY","FOLKESTONE AND HYTHE","KENT","TN28 "
247,201000,2019,"GU10 1AD","FARNHAM","GUILDFORD","SURREY","GU10 "
248,382000,2019,"TN30 6HW","TENTERDEN","ASHFORD","KENT","TN30 "
249,278000,2019,"DA2 8AR","DARTFORD","DARTFORD","KENT","DA2 8"
250,290000,2019,"CT2 9JA","CANTERBURY","CANTERBURY","KENT","CT2 9"
251,1125000,2019,"KT16 0QG","CHERTSEY","RUNNYMEDE","SURREY","KT16 "
252,198500,2019,"GU12 6QE","ALDERSHOT","GUILDFORD","SURREY","GU12 "
253,290000,2019,"TN23 3AT","ASHFORD","ASHFORD","KENT","TN23 "
254,120000,2019,"CT17 0LW","DOVER","DOVER","KENT","CT17 "
255,230000,2019,"CT3 1LH","CANTERBURY","DOVER","KENT","CT3 1"
256,156000,2019,"ME12 3AA","SHEERNESS","SWALE","KENT","ME12 "
257,206000,2019,"TN12 7JR","TONBRIDGE","TUNBRIDGE WELLS","KENT","TN12 "
258,450000,2019,"RH9 8JE","GODSTONE","TANDRIDGE","SURREY","RH9 8"
259,370000,2019,"RH10 3JD","CRAWLEY","TANDRIDGE","SURREY","RH10 "
260,432500,2019,"RH6 0EF","HORLEY","MOLE VALLEY","SURREY","RH6 0"
261,245000,2019,"TN2 4PJ","TUNBRIDGE WELLS","TUNBRIDGE WELLS","KENT","TN2 4"
262,475000,2019,"TN15 0LN","SEVENOAKS","SEVENOAKS","KENT","TN15 "
263,167500,2019,"CT14 7JP","DEAL","DOVER","KENT","CT14 "
264,442000,2019,"CT14 7PW","DEAL","DOVER","KENT","CT14 "
265,138000,2019,"CT9 3JL","MARGATE","THANET","KENT","CT9 3"
266,435000,2019,"CT3 1EX","CANTERBURY","DOVER","KENT","CT3 1"
267,375000,2019,"ME13 9QS","FAVERSHAM","SWALE","KENT","ME13 "
268,1175000,2019,"TN18 5DL","CRANBROOK","TUNBRIDGE WELLS","KENT","TN18 "
269,395000,2019,"DA13 9LJ","GRAVESEND","DARTFORD","KENT","DA13 "
270,201000,2019,"TN26 2HE","ASHFORD","ASHFORD","KENT","TN26 "
271,475000,2019,"TN18 4BD","CRANBROOK","TUNBRIDGE WELLS","KENT","TN18 "
272,338000,2019,"DA4 9JZ","DARTFORD","SEVENOAKS","KENT","DA4 9"
273,277000,2019,"TN12 6PX","TONBRIDGE","TUNBRIDGE WELLS","KENT","TN12 "
274,125000,2019,"CT9 2EQ","MARGATE","THANET","KENT","CT9 2"
275,215000,2019,"ME1 3UZ","ROCHESTER","TONBRIDGE AND MALLING","KENT","ME1 3"
276,109000,2019,"CT4 5TN","CANTERBURY","CANTERBURY","KENT","CT4 5"
277,297000,2019,"DA13 9NP","GRAVESEND","DARTFORD","KENT","DA13 "
278,445000,2019,"GU8 5BA","GODALMING","WAVERLEY","SURREY","GU8 5"
279,390000,2019,"GU10 3DS","FARNHAM","WAVERLEY","SURREY","GU10 "
280,442500,2019,"KT17 1UX","EPSOM","EPSOM AND EWELL","SURREY","KT17 "
281,429950,2019,"KT10 0AT","ESHER","ELMBRIDGE","SURREY","KT10 "
282,374000,2019,"GU12 5DA","ALDERSHOT","GUILDFORD","SURREY","GU12 "
283,235000,2019,"GU21 2UE","WOKING","WOKING","SURREY","GU21 "
284,310000,2019,"KT14 7QS","WEST BYFLEET","WOKING","SURREY","KT14 "
285,271000,2019,"RH4 3PB","DORKING","MOLE VALLEY","SURREY","RH4 3"
286,160000,2019,"KT14 7HJ","WEST BYFLEET","WOKING","SURREY","KT14 "
287,230000,2019,"DA13 0JG","GRAVESEND","GRAVESHAM","KENT","DA13 "
288,203000,2019,"ME14 4AG","MAIDSTONE","MAIDSTONE","KENT","ME14 "
289,250000,2019,"ME9 0BH","SITTINGBOURNE","SWALE","KENT","ME9 0"
290,3e+05,2019,"TN18 4BN","CRANBROOK","TUNBRIDGE WELLS","KENT","TN18 "
291,305000,2019,"TN27 9EY","ASHFORD","ASHFORD","KENT","TN27 "
292,165000,2019,"CT7 0LF","BIRCHINGTON","THANET","KENT","CT7 0"
293,70000,2019,"TN4 0PL","TUNBRIDGE WELLS","TUNBRIDGE WELLS","KENT","TN4 0"
294,1500000,2019,"DA11 9BJ","GRAVESEND","GRAVESHAM","KENT","DA11 "
295,106000,2019,"CT20 3BZ","FOLKESTONE","FOLKESTONE AND HYTHE","KENT","CT20 "
296,80000,2019,"CT14 8EU","DEAL","DOVER","KENT","CT14 "
297,117500,2019,"ME12 2DG","SHEERNESS","SWALE","KENT","ME12 "
298,236000,2019,"ME12 3GJ","SHEERNESS","SWALE","KENT","ME12 "
299,345000,2019,"TN3 8EA","TUNBRIDGE WELLS","TUNBRIDGE WELLS","KENT","TN3 8"
300,58000,2019,"CT15 6AG","DOVER","DOVER","KENT","CT15 "
301,1235000,2019,"ME14 5LH","MAIDSTONE","MAIDSTONE","KENT","ME14 "
302,92000,2019,"CT9 5HB","MARGATE","THANET","KENT","CT9 5"
303,556500,2019,"ME17 1EJ","MAIDSTONE","MAIDSTONE","KENT","ME17 "
304,156000,2019,"TN3 0AQ","TUNBRIDGE WELLS","TUNBRIDGE WELLS","KENT","TN3 0"
305,270000,2019,"GU4 8LE","GUILDFORD","GUILDFORD","SURREY","GU4 8"
306,125000,2019,"RH10 3HZ","CRAWLEY","TANDRIDGE","SURREY","RH10 "
307,1245355,2019,"ME16 9GP","MAIDSTONE","TONBRIDGE AND MALLING","KENT","ME16 "
308,2870000,2019,"GU12 5QF","ALDERSHOT","GUILDFORD","SURREY","GU12 "
309,380000,2019,"DA13 0QQ","GRAVESEND","GRAVESHAM","KENT","DA13 "
310,295000,2019,"TN18 4LT","CRANBROOK","TUNBRIDGE WELLS","KENT","TN18 "
311,30000,2019,"KT12 5QJ","WALTON-ON-THAMES","ELMBRIDGE","SURREY","KT12 "
